sample	group	seqs_pct	seqs	bases_pct	bases
roundaspike/tag/rlb/2	bacteria	0.13	2791	0.12	1159059
roundaspike/tag/rlb/2	ambiguous	0.01	176	0.02	167895
roundaspike/tag/rlb/2	dna-viruses	0.01	147	0.01	121364
roundaspike/tag/rlb/2	rna-viruses	0.00	3	0.00	1828
roundaspike/tag/rlb/3	unclassified	94.20	40429	80.96	9525653
roundaspike/tag/rlb/3	human	5.62	2412	18.55	2182331
roundaspike/tag/rlb/3	bacteria	0.12	53	0.30	35166
roundaspike/tag/rlb/3	rna-viruses	0.04	16	0.10	11243
roundaspike/tag/rlb/3	dna-viruses	0.01	5	0.05	5730
roundaspike/tag/rlb/3	ambiguous	0.01	4	0.05	5463
roundaspike/tag/rlb/neg	human	85.13	1305	95.05	1227657
roundaspike/tag/rlb/neg	unclassified	14.16	217	3.97	51273
roundaspike/tag/rlb/neg	bacteria	0.26	4	0.33	4280
roundaspike/tag/rlb/neg	dna-viruses	0.20	3	0.19	2398
roundaspike/tag/rlb/neg	rna-viruses	0.13	2	0.22	2791
roundaspike/tag/rlb/neg	ambiguous	0.13	2	0.25	3198
roundaspike/tag/neb+rlb/1	unclassified	97.32	158829	88.04	30596156
roundaspike/tag/neb+rlb/1	human	2.49	4058	11.50	3994950
roundaspike/tag/neb+rlb/1	bacteria	0.11	180	0.27	95084
roundaspike/tag/neb+rlb/1	rna-viruses	0.06	106	0.12	40288
roundaspike/tag/neb+rlb/1	ambiguous	0.01	14	0.06	19126
roundaspike/tag/neb+rlb/1	dna-viruses	0.01	9	0.02	5902
roundaspike/tag/neb+rlb/2	human	91.93	2443027	94.90	949198182
roundaspike/tag/neb+rlb/2	unclassified	8.03	213455	5.02	50248943
roundaspike/tag/neb+rlb/2	ambiguous	0.03	786	0.06	644914
roundaspike/tag/neb+rlb/2	bacteria	0.00	79	0.00	49490
roundaspike/tag/neb+rlb/2	rna-viruses	0.00	37	0.00	14910
roundaspike/tag/neb+rlb/2	dna-viruses	0.00	13	0.00	9414
roundaspike/tag/neb+rlb/3	unclassified	94.52	232989	82.78	44154575
roundaspike/tag/neb+rlb/3	human	5.32	13111	16.82	8972909
roundaspike/tag/neb+rlb/3	rna-viruses	0.07	176	0.12	65256
roundaspike/tag/neb+rlb/3	bacteria	0.07	168	0.17	91390
roundaspike/tag/neb+rlb/3	ambiguous	0.01	34	0.07	39802
roundaspike/tag/neb+rlb/3	dna-viruses	0.01	17	0.02	12770
roundaspike/tag/neb+rlb/neg	human	96.82	2406310	96.89	968994390
roundaspike/tag/neb+rlb/neg	unclassified	2.70	67046	2.23	22349077
roundaspike/tag/neb+rlb/neg	ambiguous	0.48	11910	0.87	8715697
roundaspike/tag/neb+rlb/neg	rna-viruses	0.00	23	0.00	14426
roundaspike/tag/neb+rlb/neg	bacteria	0.00	6	0.00	7070
roundaspike/tag/neb+rlb/neg	dna-viruses	0.00	1	0.00	619
smart9nspike/full/neb/1	human	34.83	513177	34.30	343018668
smart9nspike/full/neb/1	bacteria	29.36	432594	30.23	302352505
smart9nspike/full/neb/1	unclassified	21.05	310113	17.67	176691075
smart9nspike/full/neb/1	rna-viruses	8.45	124541	10.73	107320847
smart9nspike/full/neb/1	dna-viruses	6.10	89829	6.63	66260652
smart9nspike/full/neb/1	ambiguous	0.21	3034	0.44	4427570
smart9nspike/full/neb/2	human	98.81	1958431	99.17	991948615
smart9nspike/full/neb/2	unclassified	1.01	19926	0.56	5613037
smart9nspike/full/neb/2	ambiguous	0.12	2389	0.16	1602702
smart9nspike/full/neb/2	bacteria	0.05	1029	0.10	959641
smart9nspike/full/neb/2	rna-viruses	0.01	100	0.01	96690
smart9nspike/full/neb/2	dna-viruses	0.00	65	0.01	52188
smart9nspike/full/neb/3	human	95.36	1154579	95.91	959167170
smart9nspike/full/neb/3	bacteria	2.22	26842	2.27	22724344
smart9nspike/full/neb/3	unclassified	1.71	20683	1.03	10290451
smart9nspike/full/neb/3	rna-viruses	0.36	4342	0.39	3908032
smart9nspike/full/neb/3	dna-viruses	0.21	2603	0.21	2113196
smart9nspike/full/neb/3	ambiguous	0.14	1669	0.18	1846122
smart9nspike/full/neb/neg	human	83.72	1270	91.43	990148
smart9nspike/full/neb/neg	unclassified	13.51	205	5.02	54372
smart9nspike/full/neb/neg	bacteria	1.19	18	1.18	12812
smart9nspike/full/neb/neg	dna-viruses	0.79	12	1.18	12761
smart9nspike/full/neb/neg	rna-viruses	0.59	9	0.76	8246
smart9nspike/full/neb/neg	ambiguous	0.20	3	0.42	4600
smart9nspike/tag/neb/1	human	34.21	463162	33.03	330388273
smart9nspike/tag/neb/1	bacteria	30.99	419521	31.71	317138514
smart9nspike/tag/neb/1	unclassified	16.73	226443	14.91	149092188
smart9nspike/tag/neb/1	rna-viruses	10.87	147208	12.51	125077997
smart9nspike/tag/neb/1	dna-viruses	6.98	94492	7.36	73570354
smart9nspike/tag/neb/1	ambiguous	0.22	3009	0.49	4886128
smart9nspike/tag/neb/2	human	98.58	1987631	99.07	991135422
smart9nspike/tag/neb/2	unclassified	1.24	25095	0.68	6754434
smart9nspike/tag/neb/2	ambiguous	0.12	2401	0.16	1565521
smart9nspike/tag/neb/2	bacteria	0.05	944	0.09	882064
smart9nspike/tag/neb/2	rna-viruses	0.00	97	0.01	85081
smart9nspike/tag/neb/2	dna-viruses	0.00	60	0.00	47069
smart9nspike/tag/neb/3	human	95.57	1221179	95.80	958124748
smart9nspike/tag/neb/3	bacteria	2.41	30745	2.52	25172422
smart9nspike/tag/neb/3	unclassified	1.36	17317	0.91	9089433
smart9nspike/tag/neb/3	rna-viruses	0.36	4588	0.40	4016977
smart9nspike/tag/neb/3	dna-viruses	0.19	2388	0.18	1827724
smart9nspike/tag/neb/3	ambiguous	0.12	1533	0.19	1898826
smart9nspike/tag/neb/neg	human	79.48	1166	89.70	890233
smart9nspike/tag/neb/neg	unclassified	18.61	273	7.42	73681
smart9nspike/tag/neb/neg	bacteria	0.95	14	1.42	14132
smart9nspike/tag/neb/neg	rna-viruses	0.48	7	0.83	8269
smart9nspike/tag/neb/neg	dna-viruses	0.41	6	0.51	5049
smart9nspike/tag/neb/neg	ambiguous	0.07	1	0.11	1097
smart9nspike/tag/rlb/1	unclassified	99.06	222236	97.17	48551443
smart9nspike/tag/rlb/1	human	0.71	1588	2.34	1168161
smart9nspike/tag/rlb/1	bacteria	0.21	465	0.43	212747
smart9nspike/tag/rlb/1	rna-viruses	0.01	29	0.04	20877
smart9nspike/tag/rlb/1	dna-viruses	0.01	13	0.01	6038
smart9nspike/tag/rlb/1	ambiguous	0.00	4	0.01	5732
smart9nspike/tag/rlb/2	human	94.46	2095047	97.10	971079648
smart9nspike/tag/rlb/2	unclassified	5.51	122191	2.86	28571680
smart9nspike/tag/rlb/2	bacteria	0.01	272	0.02	188377
smart9nspike/tag/rlb/2	ambiguous	0.01	257	0.02	202142
smart9nspike/tag/rlb/2	rna-viruses	0.00	22	0.00	11399
smart9nspike/tag/rlb/2	dna-viruses	0.00	21	0.00	16034
smart9nspike/tag/rlb/3	unclassified	94.28	155650	85.97	34014084
smart9nspike/tag/rlb/3	human	5.49	9056	13.53	5354790
smart9nspike/tag/rlb/3	bacteria	0.21	350	0.41	161651
smart9nspike/tag/rlb/3	rna-viruses	0.02	26	0.05	21401
smart9nspike/tag/rlb/3	dna-viruses	0.01	11	0.02	6319
smart9nspike/tag/rlb/3	ambiguous	0.00	8	0.02	8869
smart9nspike/tag/rlb/neg	human	87.47	1159	92.78	870366
smart9nspike/tag/rlb/neg	unclassified	11.02	146	5.28	49564
smart9nspike/tag/rlb/neg	bacteria	0.60	8	0.58	5459
smart9nspike/tag/rlb/neg	rna-viruses	0.38	5	0.49	4557
smart9nspike/tag/rlb/neg	ambiguous	0.30	4	0.51	4750
smart9nspike/tag/rlb/neg	dna-viruses	0.23	3	0.36	3373
smart9nspike/tag/neb+rlb/1	unclassified	99.18	605186	97.85	125203521
smart9nspike/tag/neb+rlb/1	human	0.47	2897	1.46	1866575
smart9nspike/tag/neb+rlb/1	bacteria	0.26	1587	0.52	664098
smart9nspike/tag/neb+rlb/1	rna-viruses	0.07	441	0.13	165085
smart9nspike/tag/neb+rlb/1	dna-viruses	0.01	89	0.03	43094
smart9nspike/tag/neb+rlb/1	ambiguous	0.00	12	0.01	15490
smart9nspike/tag/neb+rlb/2	human	87.77	2309801	92.75	927722729
smart9nspike/tag/neb+rlb/2	unclassified	12.15	319639	7.12	71216572
smart9nspike/tag/neb+rlb/2	ambiguous	0.07	1799	0.10	1007609
smart9nspike/tag/neb+rlb/2	bacteria	0.01	310	0.02	231739
smart9nspike/tag/neb+rlb/2	rna-viruses	0.00	97	0.00	40620
smart9nspike/tag/neb+rlb/2	dna-viruses	0.00	16	0.00	13747
